gisid,Calendar year,State Route,Loc Road Name RMS,Intersection From,Segment From,Offset From,Intersection To,Segment To,Offset to,Municipality Name1,Municipality Name2,Municipality Name3,Leg Dist 1,Leg Dist 2,Leg Dist 3,Senatorial Dist1,Senatorial Dist2,Cong District,Miles Planned,County,longcode,shortcode,cty_code,source
2067,2026,"""4003""",WISSAHICKON AV,W Hunting Park Ave / SR 0013,"""0010""","""0000""",Allens Rd,"""0070""","""2314""",PHILADELPHIA,,,201,200,198,3,,3,3.36,Philadelphia,40030010000000702314,400300100070,"""67""",5-year plan 2024-2028
637,2025,"""3025""",FOURTH ST,River Rd,"""0010""","""0000""",Coates St,"""0020""","""0337""",UPPER MERION,,,149,,,17,,04,0.35,Montgomery,30250010000000200337,302500100020,"""46""",5-year plan 2024-2028
2314,2028,"""3033""",GUTHRIE RD,Swedesford Rd,"""0010""","""0000""",N Gulph Rd,"""0010""","""3573""",UPPER MERION,,,149,,,17,,04,0.68,Montgomery,30330010000000103573,303300100010,"""46""",5-year plan 2024-2028
2567,2026,"""0030""",LINCOLN HW,County Line Rd / T964,"""0010""","""0000""",1157Ft East of Moscow Rd,"""0040""","""2757""",WEST SADSBURY,,,026,,,19,,06,1.96,Chester,00300010000000402757,003000100040,"""15""",5-year plan 2024-2028
2416,2028,"""3003""",TURNER RD,Providence Rd / SR 0252,"""0090""","""0000""",E Baltimore Pk / SR 2016,"""0100""","""3821""",NETHER PROVIDENCE,,,161,,,09,,05,1.13,Delaware,30030090000001003821,300300900100,"""23""",5-year plan 2024-2028
2350,2025,"""3021""",BORTONDALE RD,Old Middletown Rd,"""0010""","""0000""",W Baltimore Ave / SR 2016,"""0030""","""3186""",MEDIA,UPPER PROVIDENCE,MIDDLETOWN,168,,,09,,07,1.58,Delaware,30210010000000303186,302100100030,"""23""",5-year plan 2024-2028
2609,2025,"""0003""",CHESTNUT ST,Twenty-First St,"""0100""","""0456""",Broad St / SR 0611,"""0110""","""0901""",PHILADELPHIA,,,192,191,,1,,3,0.61,Philadelphia,00030100045601100901,000301000110,"""67""",5-year plan 2024-2028
2503,2024,"""3033""",ENGLE ST,Ninth St / SR 6013,"""0010""","""0000""",Concord Rd / SR 3007,"""0010""","""2807""",CHESTER CITY,CHESTER,,159,,,09,,01,0.53,Delaware,30330010000000102807,303300100010,"""23""",5-year plan 2024-2028
2508,2025,"""3044""",BEAVER VALLEY R,Beaver Dam Rd,"""0010""","""0000""",SR 0202,"""0030""","""2242""",CONCORD,CHADDS FORD,,160,,,09,,05,1.64,Delaware,30440010000000302242,304400100030,"""23""",5-year plan 2024-2028
2557,2028,"""0030""",GIRARD AV,Lancaster Ave / SR 3012,"""0050""","""0000""",N Thirty-Fourth St,"""0070""","""1076""",PHILADELPHIA,,,190,,,7,,3,0.92,Philadelphia,00300050000000701076,003000500070,"""67""",5-year plan 2024-2028
2558,2028,"""0030""",GIRARD AV,Belmont Ave / SR 3005,"""0061""","""0000""",N Thirty-Fourth St,"""0071""","""1076""",PHILADELPHIA,,,190,10,,7,,3,1.22,Philadelphia,00300061000000711076,003000610071,"""67""",5-year plan 2024-2028
2624,2028,"""4003""",BLACK ROCK RD,Egypt Rd,"""0010""","""0000""",Black Rock Rd,"""0070""","""3646""",UPPER PROVIDENCE,,,157,,,44,,06,3.62,Montgomery,40030010000000703646,400300100070,"""46""",5-year plan 2024-2028
